Image,model_name,Score
"3dgcqa-300/dreamfusion-sd/a_wizard_casting_a_spell,_fantasy_art_style,_highest_quality@20240304-161101",dreamfusion-sd,3.3
"3dgcqa-300/dreamfusion-sd/a_lush_rainforest_with_a_waterfall,_vibrant_style,_highest_quality@20240306-065950",dreamfusion-sd,1.8
"3dgcqa-300/dreamfusion-sd/a_pair_of_dueling_pistols_from_the_18th_century,_detailed_style,_highest_quality@20240306-183315",dreamfusion-sd,2.7
"3dgcqa-300/dreamfusion-sd/a_dolphin_leaping_out_of_the_water,_watercolor_style,_highest_quality@20240301-231725",dreamfusion-sd,3.1
"3dgcqa-300/dreamfusion-sd/an_ice_sculpture_at_a_winter_festival,_photorealistic_style,_highest_quality@20240305-205315",dreamfusion-sd,3.3
"3dgcqa-300/fantasia3d-texture/a_cozy_reading_nook_with_a_bookshelf,_pastel_style,_highest_quality@20240309-141715",fantasia3d-texture,2.7
"3dgcqa-300/fantasia3d-texture/a_vintage_car_racing_on_a_country_road,_impressionist_style,_highest_quality@20240307-165607",fantasia3d-texture,2.7
"3dgcqa-300/fantasia3d-texture/a_bowl_of_ramen_with_steam_rising,_anime_style,_highest_quality@20240306-113504",fantasia3d-texture,2.2
"3dgcqa-300/fantasia3d-texture/a_gleaming_samurai_sword,_traditional_Japanese_style,_highest_quality@20240312-003827",fantasia3d-texture,1.8
"3dgcqa-300/fantasia3d-texture/a_picnic_basket_on_a_sunny_day,_impressionist_style,_highest_quality@20240306-150919",fantasia3d-texture,3.0
"3dgcqa-300/fantasia3d-texture/a_motorcycle_speeding_on_a_desert_highway,_dynamic_style,_highest_quality@20240308-043556",fantasia3d-texture,1.8
"3dgcqa-300/fantasia3d-texture/a_steaming_cup_of_coffee_on_a_rainy_day,_cozy_style,_highest_quality@20240307-141000",fantasia3d-texture,2.6
"3dgcqa-300/fantasia3d-texture/a_lone_cactus_in_the_desert_at_midday,_watercolor_style,_highest_quality@20240311-150048",fantasia3d-texture,3.5
"3dgcqa-300/fantasia3d-texture/an_ornate_throne_in_a_royal_palace,_baroque_style,_highest_quality@20240310-110604",fantasia3d-texture,3.6
"3dgcqa-300/fantasia3d-texture/a_pair_of_high-top_sneakers,_pop_art_style,_highest_quality@20240308-135219",fantasia3d-texture,2.8
"3dgcqa-300/fantasia3d-texture/a_rustic_farmhouse_table_set_for_dinner,_country_style,_highest_quality@20240310-225256",fantasia3d-texture,2.0
"3dgcqa-300/fantasia3d-texture/a_traditional_kimono_with_intricate_patterns,_watercolor_style,_highest_quality@20240308-170622",fantasia3d-texture,2.3
"3dgcqa-300/fantasia3d-texture/a_renaissance_bust_in_a_gallery,_classical_style,_highest_quality@20240309-063600",fantasia3d-texture,3.3
"3dgcqa-300/fantasia3d-texture/an_ancient_Greek_statue_in_a_museum,_realistic_style,_highest_quality@20240308-232423",fantasia3d-texture,1.0
"3dgcqa-300/fantasia3d-texture/a_majestic_eagle_soaring_above_mountains,_realistic_style,_highest_quality@20240303-182607",fantasia3d-texture,2.3
"3dgcqa-300/fantasia3d-texture/a_dolphin_leaping_out_of_the_water,_watercolor_style,_highest_quality@20240303-201321",fantasia3d-texture,2.2
"3dgcqa-300/fantasia3d-texture/an_orchid_in_a_glass_greenhouse,_delicate_style,_highest_quality@20240311-224645",fantasia3d-texture,2.3
"3dgcqa-300/fantasia3d-texture/a_knight_wielding_a_sword,_comic_book_style,_highest_quality@20240305-150255",fantasia3d-texture,2.4
"3dgcqa-300/fantasia3d-texture/a_medieval_gargoyle_on_a_cathedral,_gothic_style,_highest_quality@20240309-034507",fantasia3d-texture,1.5
"3dgcqa-300/fantasia3d-texture/a_futuristic_laser_gun,_sci-fi_style,_highest_quality@20240312-025910",fantasia3d-texture,2.3
"3dgcqa-300/fantasia3d-texture/a_detective_solving_a_mystery,_noir_style,_highest_quality@20240305-222400",fantasia3d-texture,2.2
"3dgcqa-300/fantasia3d-texture/an_ancient_Viking_axe,_realistic_style,_highest_quality@20240312-092029",fantasia3d-texture,1.5
"3dgcqa-300/fantasia3d-texture/a_medieval_longbow_with_arrows,_historic_style@20240312-014513",fantasia3d-texture,1.5
"3dgcqa-300/fantasia3d-texture/a_steam_locomotive_chugging_through_the_mountains,_vintage_style,_highest_quality@20240307-225631",fantasia3d-texture,3.0
"3dgcqa-300/fantasia3d-texture/a_quaint_cottage_in_a_forest_clearing,_storybook_style,_highest_quality@20240305-110607",fantasia3d-texture,3.7
"3dgcqa-300/fantasia3d-texture/an_ancient_Egyptian_pyramid_at_sunrise,_photorealistic_style,_highest_quality@20240305-082616",fantasia3d-texture,2.5
"3dgcqa-300/fantasia3d-texture/a_futuristic_suit_of_armor,_sci-fi_style,_highest_quality@20240308-192627",fantasia3d-texture,1.6
"3dgcqa-300/fantasia3d-texture/a_pirate_sailing_the_high_seas,_adventure_style,_highest_quality@20240306-013227",fantasia3d-texture,2.2
"3dgcqa-300/hifa/a_vintage_leather_jacket_on_a_hanger,_grunge_style,_highest_quality@20240310-001717",hifa,2.9
"3dgcqa-300/hifa/a_futuristic_laser_gun,_sci-fi_style,_highest_quality@20240313-101603",hifa,2.4
"3dgcqa-300/hifa/a_traditional_kimono_with_intricate_patterns,_watercolor_style,_highest_quality@20240310-093218",hifa,2.6
"3dgcqa-300/hifa/a_futuristic_suit_of_armor,_sci-fi_style,_highest_quality@20240310-123917",hifa,3.2
"3dgcqa-300/hifa/an_ancient_Viking_axe,_realistic_style,_highest_quality@20240313-132148",hifa,3.9
"3dgcqa-300/hifa/a_steaming_cup_of_coffee_on_a_rainy_day,_cozy_style,_highest_quality@20240308-061431",hifa,4.2
"3dgcqa-300/hifa/a_wizard_casting_a_spell,_fantasy_art_style,_highest_quality@20240306-071901",hifa,2.9
"3dgcqa-300/hifa/a_robot_exploring_space,_sci-fi_style,_highest_quality@20240307-003934",hifa,3.1
"3dgcqa-300/hifa/a_modern_skyscraper_in_a_bustling_city,_futurist_style,_highest_quality@20240304-233002",hifa,1.8
"3dgcqa-300/hifa/a_pair_of_high-top_sneakers,_pop_art_style,_highest_quality@20240310-033628",hifa,2.7
"3dgcqa-300/hifa/a_quaint_cottage_in_a_forest_clearing,_storybook_style,_highest_quality@20240305-192745",hifa,2.3
"3dgcqa-300/hifa/a_knight_wielding_a_sword,_comic_book_style,_highest_quality@20240306-020049",hifa,3.7
"3dgcqa-300/hifa/a_sunflower_field_at_sunset,_oil_painting_style,_highest_quality@20240312-082150",hifa,2.0
"3dgcqa-300/hifa/a_playful_puppy_chasing_its_tail,_cartoon_style,_highest_quality@20240303-161700",hifa,2.6
"3dgcqa-300/hifa/a_slice_of_cheesecake_with_strawberries,_digital_art_style,_highest_quality@20240307-052212",hifa,4.6
"3dgcqa-300/hifa/a_spaceship_launching_into_orbit,_retro-futurism_style,_highest_quality@20240308-190928",hifa,1.8
"3dgcqa-300/hifa/a_bonsai_tree_in_a_serene_garden,_Japanese_ink_style,_highest_quality@20240312-221917",hifa,2.5
"3dgcqa-300/hifa/an_ancient_Greek_statue_in_a_museum,_realistic_style,_highest_quality@20240310-154413",hifa,2.7
"3dgcqa-300/hifa/a_pirate_sailing_the_high_seas,_adventure_style,_highest_quality@20240306-181538",hifa,2.2
"3dgcqa-300/hifa/a_modern_abstract_sculpture_in_a_public_park,_minimalistic_style,_highest_quality@20240310-190454",hifa,3.3
"3dgcqa-300/hifa/a_rustic_farmhouse_table_set_for_dinner,_country_style,_highest_quality@20240311-233534",hifa,1.9
"3dgcqa-300/hifa/an_antique_wooden_desk_in_a_study,_vintage_style,_highest_quality@20240311-142540",hifa,2.3
"3dgcqa-300/hifa/a_tiger_stalking_through_the_jungle,_ink_wash_painting_style,_highest_quality@20240302-130722",hifa,2.0
"3dgcqa-300/hifa/a_majestic_eagle_soaring_above_mountains,_realistic_style,_highest_quality@20240304-132108",hifa,2.3
"3dgcqa-300/hifa/a_cozy_reading_nook_with_a_bookshelf,_pastel_style,_highest_quality@20240311-091247",hifa,1.8
"3dgcqa-300/hifa/a_lush_rainforest_with_a_waterfall,_vibrant_style,_highest_quality@20240312-183320",hifa,2.3
"3dgcqa-300/hifa/a_flock_of_birds_flying_at_sunset,_silhouette_style,_highest_quality@20240302-184259",hifa,2.5
"3dgcqa-300/hifa/a_minimalist_modern_sofa_in_a_bright_room,_contemporary_style,_highest_quality@20240311-193646",hifa,2.7
"3dgcqa-300/hifa/an_ornate_throne_in_a_royal_palace,_baroque_style,_highest_quality@20240312-050333",hifa,2.7
"3dgcqa-300/hifa/a_medieval_gargoyle_on_a_cathedral,_gothic_style,_highest_quality@20240310-221801",hifa,3.7
"3dgcqa-300/magic3d-refine-if/a_spaceship_launching_into_orbit,_retro-futurism_style,_highest_quality@20240305-150801",magic3d-refine-if,1.9
"3dgcqa-300/magic3d-refine-if/a_cozy_reading_nook_with_a_bookshelf,_pastel_style,_highest_quality@20240307-040500",magic3d-refine-if,1.2
"3dgcqa-300/magic3d-refine-if/an_ancient_Viking_axe,_realistic_style,_highest_quality@20240308-071028",magic3d-refine-if,3.5
"3dgcqa-300/magic3d-refine-if/a_slice_of_cheesecake_with_strawberries,_digital_art_style,_highest_quality@20240305-010239",magic3d-refine-if,4.1
"3dgcqa-300/magic3d-refine-if/an_ornate_throne_in_a_royal_palace,_baroque_style,_highest_quality@20240307-110010",magic3d-refine-if,2.2
"3dgcqa-300/magic3d-refine-if/a_motorcycle_speeding_on_a_desert_highway,_dynamic_style,_highest_quality@20240305-235116",magic3d-refine-if,2.8
"3dgcqa-300/magic3d-refine-if/a_dolphin_leaping_out_of_the_water,_watercolor_style,_highest_quality@20240303-213408",magic3d-refine-if,3.4
"3dgcqa-300/magic3d-refine-if/a_bowl_of_ramen_with_steam_rising,_anime_style,_highest_quality@20240305-032749",magic3d-refine-if,3.9
"3dgcqa-300/magic3d-refine-if/a_gleaming_samurai_sword,_traditional_Japanese_style,_highest_quality@20240308-002824",magic3d-refine-if,3.9
"3dgcqa-300/magic3d-refine-if/a_pair_of_dueling_pistols_from_the_18th_century,_detailed_style,_highest_quality@20240308-090837",magic3d-refine-if,3.0
"3dgcqa-300/magic3d-refine-if/a_quaint_cottage_in_a_forest_clearing,_storybook_style,_highest_quality@20240304-135408",magic3d-refine-if,4.3
"3dgcqa-300/magic3d-refine-if/a_lush_rainforest_with_a_waterfall,_vibrant_style,_highest_quality@20240307-180044",magic3d-refine-if,4.2
"3dgcqa-300/magic3d-refine-if/a_rustic_farmhouse_table_set_for_dinner,_country_style,_highest_quality@20240307-092023",magic3d-refine-if,4.1
"3dgcqa-300/magic3d-refine-if/a_majestic_eagle_soaring_above_mountains,_realistic_style,_highest_quality@20240303-170540",magic3d-refine-if,2.2
"3dgcqa-300/magic3d-refine-if/a_steam_locomotive_chugging_through_the_mountains,_vintage_style,_highest_quality@20240305-183711",magic3d-refine-if,3.8
"3dgcqa-300/magic3d-refine-if/an_ancient_Greek_statue_in_a_museum,_realistic_style,_highest_quality@20240306-163008",magic3d-refine-if,4.6
"3dgcqa-300/magic3d-refine-if/a_pair_of_high-top_sneakers,_pop_art_style,_highest_quality@20240306-073925",magic3d-refine-if,3.4
"3dgcqa-300/magic3d-refine-if/a_flock_of_birds_flying_at_sunset,_silhouette_style,_highest_quality@20240303-200935",magic3d-refine-if,1.2
"3dgcqa-300/magic3d-refine-if/a_modern_skyscraper_in_a_bustling_city,_futurist_style,_highest_quality@20240304-170136",magic3d-refine-if,2.2
"3dgcqa-300/magic3d-refine-if/a_vintage_leather_jacket_on_a_hanger,_grunge_style,_highest_quality@20240306-044900",magic3d-refine-if,3.2
"3dgcqa-300/magic3d-refine-if/a_futuristic_laser_gun,_sci-fi_style,_highest_quality@20240308-050341",magic3d-refine-if,3.5
"3dgcqa-300/magic3d-refine-if/a_medieval_longbow_with_arrows,_historic_style@20240308-023958",magic3d-refine-if,1.1
"3dgcqa-300/magic3d-refine-if/a_wizard_casting_a_spell,_fantasy_art_style,_highest_quality@20240304-131711",magic3d-refine-if,3.0
"3dgcqa-300/magic3d-refine-if/a_tiger_stalking_through_the_jungle,_ink_wash_painting_style,_highest_quality@20240304-143241",magic3d-refine-if,2.4
"3dgcqa-300/magic3d-refine-if/a_traditional_kimono_with_intricate_patterns,_watercolor_style,_highest_quality@20240306-110331",magic3d-refine-if,4.0
"3dgcqa-300/magic3d-refine-if/a_robot_exploring_space,_sci-fi_style,_highest_quality@20240304-225813",magic3d-refine-if,3.1
"3dgcqa-300/magic3d-refine-if/a_lone_cactus_in_the_desert_at_midday,_watercolor_style,_highest_quality@20240307-153827",magic3d-refine-if,4.1
"3dgcqa-300/magic3d-refine-if/a_sunflower_field_at_sunset,_oil_painting_style,_highest_quality@20240307-124533",magic3d-refine-if,2.0
"3dgcqa-300/magic3d-refine-sd/a_slice_of_cheesecake_with_strawberries,_digital_art_style,_highest_quality@20240310-194355",magic3d-refine-sd,4.2
"3dgcqa-300/magic3d-refine-sd/an_ancient_Egyptian_pyramid_at_sunrise,_photorealistic_style,_highest_quality@20240309-143554",magic3d-refine-sd,2.8
"3dgcqa-300/magic3d-refine-sd/a_majestic_eagle_soaring_above_mountains,_realistic_style,_highest_quality@20240303-224309",magic3d-refine-sd,3.0
"3dgcqa-300/magic3d-refine-sd/a_quaint_cottage_in_a_forest_clearing,_storybook_style,_highest_quality@20240309-162519",magic3d-refine-sd,2.9
"3dgcqa-300/magic3d-refine-sd/a_sunflower_field_at_sunset,_oil_painting_style,_highest_quality@20240312-151544",magic3d-refine-sd,2.7
"3dgcqa-300/magic3d-refine-sd/a_traditional_Japanese_temple_in_autumn,_ukiyo-e_style,_highest_quality@20240309-124429",magic3d-refine-sd,2.9
"3dgcqa-300/magic3d-refine-sd/a_flowing_evening_gown_on_a_mannequin,_sketch_style,_highest_quality@20240311-111750",magic3d-refine-sd,3.8
"3dgcqa-300/magic3d-refine-sd/an_ice_sculpture_at_a_winter_festival,_photorealistic_style,_highest_quality@20240312-065353",magic3d-refine-sd,2.5
"3dgcqa-300/magic3d-refine-sd/a_pair_of_high-top_sneakers,_pop_art_style,_highest_quality@20240311-145804",magic3d-refine-sd,3.9
"3dgcqa-300/magic3d-refine-sd/a_modern_abstract_sculpture_in_a_public_park,_minimalistic_style,_highest_quality@20240311-223358",magic3d-refine-sd,3.8
"3dgcqa-300/magic3d-refine-sd/a_tiger_stalking_through_the_jungle,_ink_wash_painting_style,_highest_quality@20240303-200606",magic3d-refine-sd,1.5
"3dgcqa-300/magic3d-refine-sd/a_vintage_car_racing_on_a_country_road,_impressionist_style,_highest_quality@20240311-034923",magic3d-refine-sd,2.2
"3dgcqa-300/magic3d-refine-sd/a_bonsai_tree_in_a_serene_garden,_Japanese_ink_style,_highest_quality@20240312-190724",magic3d-refine-sd,3.0
"3dgcqa-300/magic3d-refine-sd/an_assortment_of_sushi_on_a_bamboo_mat,_minimalist_style,_highest_quality@20240311-010002",magic3d-refine-sd,2.7
"3dgcqa-300/magic3d-refine-sd/a_futuristic_suit_of_armor,_sci-fi_style,_highest_quality@20240311-182819",magic3d-refine-sd,2.6
"3dgcqa-300/magic3d-refine-sd/a_robot_exploring_space,_sci-fi_style,_highest_quality@20240310-182254",magic3d-refine-sd,3.1
"3dgcqa-300/magic3d-refine-sd/a_detective_solving_a_mystery,_noir_style,_highest_quality@20240310-135357",magic3d-refine-sd,1.0
"3dgcqa-300/magic3d-refine-sd/a_lone_cactus_in_the_desert_at_midday,_watercolor_style,_highest_quality@20240312-163442",magic3d-refine-sd,3.7
"3dgcqa-300/magic3d-refine-sd/a_modern_skyscraper_in_a_bustling_city,_futurist_style,_highest_quality@20240308-233643",magic3d-refine-sd,2.2
"3dgcqa-300/magic3d-refine-sd/a_futuristic_laser_gun,_sci-fi_style,_highest_quality@20240313-114500",magic3d-refine-sd,2.4
"3dgcqa-300/magic3d-refine-sd/a_wizard_casting_a_spell,_fantasy_art_style,_highest_quality@20240309-202902",magic3d-refine-sd,2.9
"3dgcqa-300/magic3d-refine-sd/a_minimalist_modern_sofa_in_a_bright_room,_contemporary_style,_highest_quality@20240312-112736",magic3d-refine-sd,2.2
"3dgcqa-300/magic3d-refine-sd/a_motorcycle_speeding_on_a_desert_highway,_dynamic_style,_highest_quality@20240311-092503",magic3d-refine-sd,2.5
"3dgcqa-300/magic3d-refine-sd/a_bowl_of_ramen_with_steam_rising,_anime_style,_highest_quality@20240310-210638",magic3d-refine-sd,2.3
"3dgcqa-300/magic3d-refine-sd/a_sailboat_on_the_high_seas_at_dawn,_watercolor_style,_highest_quality@20240311-080226",magic3d-refine-sd,3.2
"3dgcqa-300/magic3d-refine-sd/a_playful_puppy_chasing_its_tail,_cartoon_style,_highest_quality@20240303-170718",magic3d-refine-sd,3.0
"3dgcqa-300/textmesh-if/a_modern_skyscraper_in_a_bustling_city,_futurist_style,_highest_quality@20240304-210852",textmesh-if,2.4
"3dgcqa-300/textmesh-if/a_medieval_gargoyle_on_a_cathedral,_gothic_style,_highest_quality@20240307-142203",textmesh-if,2.5
"3dgcqa-300/textmesh-if/a_pair_of_high-top_sneakers,_pop_art_style,_highest_quality@20240307-022704",textmesh-if,3.5
"3dgcqa-300/textmesh-if/a_majestic_eagle_soaring_above_mountains,_realistic_style,_highest_quality@20240303-014128",textmesh-if,2.2
"3dgcqa-300/textmesh-if/a_bonsai_tree_in_a_serene_garden,_Japanese_ink_style,_highest_quality@20240308-053141",textmesh-if,2.8
"3dgcqa-300/textmesh-if/a_vintage_leather_jacket_on_a_hanger,_grunge_style,_highest_quality@20240307-001753",textmesh-if,2.9
"3dgcqa-300/textmesh-if/a_lush_rainforest_with_a_waterfall,_vibrant_style,_highest_quality@20240308-042622",textmesh-if,3.3
"3dgcqa-300/textmesh-if/a_pirate_sailing_the_high_seas,_adventure_style,_highest_quality@20240305-130007",textmesh-if,0.9
"3dgcqa-300/textmesh-if/a_vintage_car_racing_on_a_country_road,_impressionist_style,_highest_quality@20240306-100336",textmesh-if,3.2
"3dgcqa-300/textmesh-if/a_lone_cactus_in_the_desert_at_midday,_watercolor_style,_highest_quality@20240308-032239",textmesh-if,3.7
"3dgcqa-300/textmesh-if/an_antique_wooden_desk_in_a_study,_vintage_style,_highest_quality@20240307-193744",textmesh-if,1.0
"3dgcqa-300/textmesh-if/a_futuristic_laser_gun,_sci-fi_style,_highest_quality@20240308-102336",textmesh-if,2.2
"3dgcqa-300/textmesh-if/a_wizard_casting_a_spell,_fantasy_art_style,_highest_quality@20240305-080250",textmesh-if,2.8
"3dgcqa-300/textmesh-if/a_modern_abstract_sculpture_in_a_public_park,_minimalistic_style,_highest_quality@20240307-132043",textmesh-if,2.3
"3dgcqa-300/textmesh-if/an_orchid_in_a_glass_greenhouse,_delicate_style,_highest_quality@20240308-063543",textmesh-if,1.1
"3dgcqa-300/textmesh-if/a_steam_locomotive_chugging_through_the_mountains,_vintage_style,_highest_quality@20240306-143746",textmesh-if,2.6
"3dgcqa-300/textmesh-if/a_spaceship_launching_into_orbit,_retro-futurism_style,_highest_quality@20240306-122047",textmesh-if,2.8
"3dgcqa-300/textmesh-if/a_flowing_evening_gown_on_a_mannequin,_sketch_style,_highest_quality@20240306-220639",textmesh-if,3.6
"3dgcqa-300/textmesh-if/a_flock_of_birds_flying_at_sunset,_silhouette_style,_highest_quality@20240302-223547",textmesh-if,2.5
"3dgcqa-300/textmesh-if/a_pair_of_dueling_pistols_from_the_18th_century,_detailed_style,_highest_quality@20240308-123335",textmesh-if,0.4
"3dgcqa-300/textmesh-if/a_slice_of_cheesecake_with_strawberries,_digital_art_style,_highest_quality@20240305-221058",textmesh-if,3.5
"3dgcqa-300/textmesh-if/a_picnic_basket_on_a_sunny_day,_impressionist_style,_highest_quality@20240306-024821",textmesh-if,3.5
"3dgcqa-300/textmesh-if/a_rustic_farmhouse_table_set_for_dinner,_country_style,_highest_quality@20240307-224516",textmesh-if,1.2
"3dgcqa-300/textmesh-if/a_robot_exploring_space,_sci-fi_style,_highest_quality@20240305-180554",textmesh-if,0.2
"3dgcqa-300/textmesh-if/an_ornate_throne_in_a_royal_palace,_baroque_style,_highest_quality@20240308-001803",textmesh-if,2.6
"3dgcqa-300/textmesh-if/an_ancient_Egyptian_pyramid_at_sunrise,_photorealistic_style,_highest_quality@20240305-015832",textmesh-if,4.2
"3dgcqa-4k/dreamfusion-if/a_ceramic_fish,_swimming,_tropical_style@20250811-062636",dreamfusion-if,3.7
"3dgcqa-4k/dreamfusion-if/a_blanket,_folding,_vintage_style@20250811-091210",dreamfusion-if,4.5
"3dgcqa-4k/dreamfusion-if/a_peppermint_tea,_steaming,_soothing_style@20250811-115318",dreamfusion-if,1.4
"3dgcqa-4k/dreamfusion-if/a_printer,_printing,_monochrome_style@20250811-172141",dreamfusion-if,4.2
"3dgcqa-4k/dreamfusion-if/a_doll,_dancing,_anime_style@20250811-160329",dreamfusion-if,1.6
"3dgcqa-4k/dreamfusion-if/a_cortado,_sipping,_balanced_style@20250811-174059",dreamfusion-if,1.0
"3dgcqa-4k/dreamfusion-if/a_bicycle,_cycling,_adventure_style@20250811-201608",dreamfusion-if,0.5
"3dgcqa-4k/dreamfusion-if/a_fitness_watch,_tracking,_active_style@20250811-115038",dreamfusion-if,0.0
"3dgcqa-4k/dreamfusion-if/a_vanilla_pod,_splitting,_sweet_style@20250811-115705",dreamfusion-if,3.2
"3dgcqa-4k/dreamfusion-if/a_rosemary_sprig,_roasting,_earthy_style@20250811-144055",dreamfusion-if,0.6
"3dgcqa-4k/dreamfusion-if/a_urn,_sealing,_classical_style@20250924-054504",dreamfusion-if,4.6
"3dgcqa-4k/dreamfusion-if/a_thermostat,_adjusting,_modern_style@20250811-160005",dreamfusion-if,0.1
